Rank,Title,Synopsis,keyword,biggenre,genre
455,政略結婚の旦那様に「（執着の強い家系なので心が決まるまで）愛することはない」「（白い結婚の期間）お飾りの妻でも構わない」と言われてしまったんですが、優しすぎませんか？,"初夜の前に「執着の強い家系なのでお互いの気持ちが固まるまで愛することを待つ」と言われてしまう。
とっくに好きなので待つのなんて無理ですが？

獣人の家系だったエイダン×好きな人には肉食系女子アミリア

ジリジリと追えばジリジリと後ずされる二人の物語。

（4/10心情を1000字ほど書き足しました）",ハッピーエンド 恋愛 恋 推し 小説 片思いからの 獣人,1,101
456,【本日コミック５巻発売】家から逃げ出したい私が、うっかり憧れの大魔法使い様を買ってしまったら,"◇ＳＱＥＸノベルさまより書籍全３巻発売中！３巻は完全書き下ろしで、ＷＥＢ版の続きになります。幸せいっぱい、糖分過多のハッピーエンドです。
◇ガンガンONLINEさまにてコミカライズ連載中！ コミックス５巻が発売中です。
◇ 書籍ではＷＥＢ版のラストを変更しています。

伯爵家に引き取られたジゼルは、義母や妹に虐げられながらも、持ち前のポジティブさと亡き母に貰った『やさしい大魔法使い』という絵本を支えに暮らしていた。

けれどある日、自身が妹の身代わりとして変態侯爵に嫁がされることを知り、１８歳の誕生日までに逃げ出す計画を立て始める。

そんな中、ジゼルは奴隷市場でムキムキの青年を買うつもりが、ついうっかり、歳下の美少年を買ってしまう。エルヴィスと名乗った少年は、ジゼルをクソガキと呼び、その上態度も口もとんでもなく悪い。

──実は彼こそ、最低最悪の性格のせいで「人生をやり直してこい」と魔法を封印され子供の姿にされた後、神殿から放り出された『大魔法使い』だった。

魔法によって口止めされ、自身の正体を明かせないエルヴィス。そんな彼に対しジゼルは、あまりにも辛い境遇のせいでひねくれてしまったのだと思い、逃亡計画の傍らひたすら愛情を注ぎ、更生させようとする。

（あれ、エル、なんだか急に身長伸びてない？魔法が少し使えるようになったって？ていうか距離、近すぎるのでは……？）

世話を焼き続けるうちに、エルヴィスに少しずつ不思議な変化が現れ始める。彼に掛けられた魔法が、人を愛することで解けることを、二人が知るのはまだ先で。

家を出たい心優しい少女と、元の姿に戻りたい優しさの欠片もない魔法使いが、幸せになるまでのお話です。

カクヨム様でも掲載中です。",魔法 ハッピーエンド 身分差 年の差 ツンデレ 学園生活 ドアマットヒロイン 成長・更生型ヒーロー やきもち焼き 最終的にデレデレ R15,1,101
457,ところで、アレいらなくない？ 　-王妃と側妃が国王陛下を捨てるお話－,"シュリーヌ・アウグスタ公爵令嬢は晴れて王太子妃に選ばれた。
派閥の為に、公爵家の為に選ばれたことに安堵するシュリーヌ。
側妃にはレティシア・ブラウド公爵令嬢が。オルド王太子殿下はレティシアの事を愛していて、シュリーヌは悪口ばかり言われているような関係であった。
結婚したら更なる地獄が。
子を授かる為に頭を下げ、褥を共にしてもらわなければならない日々。　
レティシアはオルド王太子殿下に愛されて幸せそうで……",ざまぁ,3,302
458,【10/27 第三章完結！】誰にも愛されなかった醜穢令嬢が幸せになるまで〜嫁ぎ先は暴虐公爵と聞いていたのですが、実は優しく誠実なお方で気がつくと溺愛されていました〜,"『醜穢令嬢』『傍若無人の人でなし』『ハグル家の疫病神』『骨』──それらは、伯爵家の娘であるアメリアへの蔑称だ。
その名の通り、アメリアの容姿は目を覆うものがあった。
骨まで見えそうなほど痩せ細った体躯に、不健康な肌色、ドレスは薄汚れている。
義母と腹違いの妹に虐げられ、食事もロクに与えられず、離れに隔離され続けたためだ。
陞爵を目指すハグル家にとって、侍女との不貞によって生まれたアメリアはお荷物でしかなかった。
誰からも愛されず必要とされず、あとは朽ち果てるだけの日々。
今日も一日一回の貧相な食事の足しになればと、庭園の雑草を採取していたある日、アメリアに婚約の話が舞い込む。
お相手は、社交会で『暴虐公爵』と悪名高いローガン公爵。
「この結婚に愛はない」と、当初はドライに接してくるローガンだったが……。
「なんだそのボロボロのドレスは。この金で新しいドレスを買え」「なぜ一食しか食べようとしない。しっかりと三食摂れ」
蓋を開けてみれば、ローガンはちょっぴり口は悪いものの根は優しく誠実な貴公子だった。
幸薄くも健気で前向きなアメリアを、ローガンは無自覚に溺愛していく。
そんな中ローガンは、絶望的な人生の中で培ったアメリアの”ある能力”にも気づき……。
「ハグル家はこんな逸材を押し込めていたのか……国家レベルの損失だ……」「あの……旦那様？」
一方アメリアがいなくなった実家では、ひたひたと崩壊の足音が近づいていて──。
これは、愛されなかった令嬢がちょっぴり言葉はきついけれど優しい公爵に不器用ながらも溺愛され、無自覚に持っていた能力を認められ、幸せになっていく話。
※オーバーラップf様から①②巻発売中。コミカライズ企画進行中。
※ほっこり度&amp;糖分度高めですが、ざまぁ要素もあります。
※カクヨム、アルファポリス、ノベルアップにも掲載中。
日間・週間・月間・四半期 年間ランキング1位。",女主人公 チート ハッピーエンド グルメ 契約結婚 公爵様 ざまぁ 姉妹格差 無自覚天才 溺愛 ご飯が美味しい ベッドふっかふっか 義妹 毒親 家族以外みんないい人,1,101
459,幼女転生～わたし、料理できませんけど～,神様と約束して、好条件で美幼女に転生した主人公。娘に甘いパパとママ、見守ってくれる美形神官の元、少しずつ異世界に馴染んでいくが、ある日突然誘拐されてしまった。相手はこちらが転生者だと知っているようで！？　内心では口の悪い主人公が思いの丈をぶつけるだけのお話です。意外に文字数多くなりましたが内容は軽いのでお気楽にお読みください。,異世界転生 幼女転生 一人称 ハッピーエンド 料理できない人もいる,2,201
460,そういうとこだぞ,"「そういえば、なぜオフィーリアが出迎えない？　オフィーリアはどうした？」

　ウィリアムが宮廷で宰相たちと激論を交わし、心身ともに疲れ果ててシャーウッド公爵家に帰ったとき。
　いつもなら出迎えるはずの妻がいない。

「公爵閣下。奥さまはご不在です。ここ一週間ほど」

「――は？」

　ウィリアムは元老院議員だ。彼が王宮で忙しく働いている間、公爵家を守るのは公爵夫人たるオフィーリアの役目である。主人のウィリアムに断りもなく出かけるとはいかがなものか。それも、息子を連れてなど……。

これは、どこにでもいる普通の貴族夫婦のお話。
彼らの選んだ未来。


※誤字報告、ありがとうございます！　とても助かっています。
※Ｒ15は保険。拙作にたまに登場するキモチワルイ人注意報。
※設定はゆるんゆるん。実在する名称かもしれませんがなんちゃって異世界のお話です。
※作者独自のなんちゃってご都合主義異世界だとご了承ください。

※このお話はアルファポリスにも掲載しています。
",R15 なんちゃって異世界 貴族夫婦のありかた 愛人の存在 娘に言うかな！ キモチワルイ人注意報 ネトコン11感想,3,302
461,【一章完結】落ちこぼれ聖女と、眠れない伯爵。,"お前なんていらない
と放り出された落ちこぼれ聖女候補、フィオナ。

生き延びるために【ちから】を隠していた彼女は
顔も見たことがない父がいるはずの隣国で【占い師】となった。

貴族の夜会で占いをして日銭を稼いでいる彼女は
とある影のある美青年に出会う。
彼に触れると、今まで見たことのない【記憶】が浮かび上がる。

訳あり聖女候補が、これまた訳あり伯爵と出会って、
二人の運命が大きく変わる話。

現実主義な元聖女候補✕不憫イケメン不眠症伯爵

※二章を書き終わり次第、投稿再開予定",シリアス ほのぼの 女主人公 西洋 魔法 ハッピーエンド 超能力 探偵霊嬢 明るめの話を めざします 前向き遺伝子ヒロイン 不憫属性ヒーロー,1,101
462,『ヒーローが過去に本気で愛した人』役から逃げたつもりが溺愛ルートに入ってしまった,"愛犬のポポと一緒に、人狼の治める国という異世界へ飛ばされた柏木愛流(あいる)、二十三歳。

それから三年間、落とされた先で出会ったおばあちゃんにお世話になり、仕事も言語も身に着け異世界で順応していく。

身内のように大切な存在となったおばあちゃんが亡くなると同時に拾ったのが、怪我をしたハスキーのような大型犬。

愛流は二匹と楽しく一年過ごしたが、愛流が出入りする街には不穏な空気が漂い始める。


そして、愛流は思い出した。
昔読むのをやめた、ダブルヒーローの小説を。
ヒーローの一人が、ロロと名付けて可愛がった大型犬の状況にそっくりであることを。

そして、一年ほど一緒に住んで愛を育んだ相手、つまり愛流が、ある日ロロを守って殺される運命の女性であることを。




※他サイトにも掲載しています。",ほのぼの 人外 日常 ハッピーエンド 溺愛 一途 獣人 王子 狼 異世界転移,1,101
463,聖女の魔力は万能です,"二十代のOL、小鳥遊　聖は【聖女召喚の儀】により異世界に召喚された。
だがしかし、彼女は【聖女】とは認識されなかった。
召喚された部屋に現れた第一王子は、聖と一緒に召喚された、もう一人の少女のみを連れて部屋を後にしたのだ。

置いて行かれた形となった聖はキレた。
とっとと、この国から出よう。
そう決心した。
だが、現実はシビアである。
結局、彼女は王宮内に留まることにした。

ただし、【聖女】とは名乗らず、【一般人】として。

◆2017/02/10 カドカワBOOKS様より発売中です！
◆Comic Walker「フロースコミック」にてコミカライズ版を公開中です！
◆Comic Walker「フロースコミック」にてスピンオフコミックも公開中です！
◆アニメ二期の制作が決まりました！",チート 恋愛 ファンタジー 聖女 女性視点 ラブコメ（笑） 切り替えは早い らぶらぶ？ になるといいな スルー力 壁追加しておきますね 残酷な描写あり 異世界転移,1,101
464,天才魔術師を弟に持つと人生はこうなる,"　この世界では十二歳までに〈神の恩恵〉と呼ばれる特殊能力が人々に与えられる。十二になると検査され、国に役立つ〈恩恵〉を得たものは、奨学金をもらい王都で学ぶことになっている。

　ポルカ村のルカは、自身がめずらしい〈恩恵〉を授かっていると気づいていた。しかし十二になった検査の日、それはたいしたことがない能力と誤解され、村で狩人としての日々を過ごしていた。
　それから約三年、今度は弟が検査の日を迎え、稀少な〈恩恵・魔術使い〉であることが判明。村を出て魔術学校に通うことになる。弟の輝かしい未来に期待を寄せていたルカであるが、弟リヒトは学校から与えられた「従者枠」を使ってルカを巻き込み、一緒に王都に連れていってしまう。
　弓の名手であり、ある特殊能力を持った兄と、天才魔術師の弟が繰りなす冒険譚。


※狩猟シーンがあるので残酷な描写ありにしました。
※この作品ではお話の説明の補助として図を用いています。そういったものが苦手な方はブラウザバックを推奨いたします。",残酷な描写あり 冒険 魔法 魔術学校 兄弟 狩人 ハンター,2,201
465,悪役令嬢レベル99～私は裏ボスですが魔王ではありません～【アニメ放映中】,"【アニメ放送１/９～　小説６巻１/１０発売】　
　ＲＰＧな乙女ゲームの世界に悪役令嬢ユミエラ・ドルクネスとして転生した私。ユミエラはゲーム本編では小物だが魔王討伐後、オマケ要素で裏ボスとなって登場し勇者パーティーと1人で渡り合うスペックを秘めている。
　ゲーマー魂に火のついた私は幼少期からレベル上げを繰り返し、ゲームの舞台である学園に入る頃にはレベル99となっていた。
　ゲームのストーリーには関わらないよう学園では目立たず過ごすつもりが、レベルが早々に露見してしまう。ヒロインたちには魔王ではないかと疑われしまい……。

【二章あらすじ】
　魔王は倒したが、領地改革や王位継承争いなどまだまだ問題は山積み。私はいつになったら「彼」と結婚できるのか……",R15 残酷な描写あり 異世界転生 乙女ゲーム 悪役令嬢 恋愛要素あり 女主人公 学園 主人公最強 ドラゴン 魔法 少しラブコメ？,1,101
466,気弱令嬢クロエの婚約解消,"「恋を、したんだ。」
長年の付き合いの婚約者である王太子・アルベルクに告げられたのは、婚約解消の申し出。なにも言い返せずに家に帰った主人公・クロエは、ショックで高熱を出してしまう。その反動で思い出したのは、前世の記憶。
王妃教育によるストレスで気弱になっていたクロエに、「強気」が戻ってきたが、3年後、クロエはまた王太子に再開して…。",ハッピーエンド 一途 純愛 ヘタレ 若干ほのぼの 異世界転生,1,101
467,転生した大聖女は、聖女であることをひた隠す,"【ノベル９巻(アース・スターノベル)＆ZERO４巻、コミックス１０巻(アース・スターコミックス)＆ZERO１巻発売中。どうぞよろしくお願いします】
騎士家の娘として騎士を目指していたフィーアは、死にかけた際に「大聖女」だった前世を思い出す。
……え？　聖女って、すごく弱体化しているのに、絶滅寸前なため、崇められている職業だよね？　
私が使う聖女の力って、おとぎ話と化した「失われた魔法」ばっかりなんだけど。
そういえば、前世で、『聖女として生まれ変わったら殺す』って魔王の右腕に脅されたんだっけ。
こんな力使ったら、一発で聖女ってバレて、殺されるんじゃないかしら。
……ってことで、初志貫徹で騎士になります！　静かに生きます！　
なーんて思ったけど、持っている力は使っちゃうよね。だって、色々便利だから……
",女主人公 チート 身分差 年の差 異世界 転生 聖女 失われた魔法 聖女は希少職 ファンタジー 騎士 R15 残酷な描写あり,1,101
468,望みゼロな憧れ騎士団長様に「今夜は帰りたくない」と、良くわからない流れで言ってしまった口下手令嬢に溺愛ブーストがかかるまで,"特殊な家庭で育ち異性とは上手く話せずに、口下手になってしまった伯爵令嬢シャーロット。

あまりに憧れの存在の公爵家三男で騎士団長を勤めるハビエルならば、身分の低い自分なんてきっと相手にもされないだろうし、会話の練習相手に良いのでは？　と提案され勇気を出して、彼に話し掛けることにした。

しかし、口下手が過ぎたシャーロットは、よくわからない流れでハビエルに「今夜は帰りたくない」と伝えてしまい？！
",ＥＳＮ大賞６ 女主人公 ハッピーエンド ラブコメ 騎士団長 伯爵令嬢 溺愛 口下手令嬢 特殊な家庭育ち 結果オーライ 鈍感過ぎる 勘違い 怒涛の展開,1,101
469,お手紙拝読しました。,手紙風形式。アレックス・シーグローブ伯爵からの手紙とシーグローブ家の顛末。わりと残酷な話です。,シリアス ダーク 男主人公 西洋 悪役令嬢 復讐 R15 残酷な描写あり,3,302
470,図書館の天才少女〜本好きの新人官吏は膨大な知識で国を救います！〜,"本が大好きなマルティナは平民図書館の本を全て読み切ってしまい、まだ見ぬ王宮図書館の本を求めて官吏となった。普通は学びへのハードルが高い平民が受かるような試験ではないのだが、マルティナは読んだ本の内容を一言一句忘れないような特殊な記憶力を有していて、数年ぶりに平民として官吏登用試験に合格する。
官吏はほとんどが貴族であることから、平民であるマルティナは理不尽な差別を受けることもあり……しかしそんな中でも特殊な記憶力を存分に発揮して、官吏として頭角を表していく。
そんなマルティナは次第に国を救うような活躍をして……。

※本作はカクヨムにも併載しています。
※カドカワBOOKS様より書籍1巻が好評発売中ですが、こちらはweb版です。書籍とは一部内容が異なります。",女主人公 魔法 お仕事 官吏 王宮 平民 魔物 完全記憶 R15 残酷な描写あり,2,201
471,すまない。私は真実の愛に巡り合ってしまったんだ。君とは白い結婚になる。,"婚約者候補の侯爵令息が題名の台詞を見合いの場でのたまった。
さて二人はどうなるか？公爵令嬢は耐えて受け入れるか？侯爵令息の真実の愛の行方は？
と真面目な出だしですが、実はコメディ風味に話は進みます。
話が進むといろんな人物が出てきます。
その人達に揉まれての主人公の成長を見てやってください。
アルファポリスに掲載してたのを改稿しています。",男主人公 真実の愛 白い結婚 婚約破棄？ ざまぁ？ コメディ風味 ヘタレ男子 成長する主人公 断罪 異世界 R15 残酷な描写あり,1,101
472,何をされたら離婚してもいいのだろう？,"何をされたら離婚してもいいのだろう？

　性格の不一致？
　性交渉の不一致？
　浮気をされたら？
　暴力を振るわれたら？
　外に子供が出来たら？
　なんとなくこの人じゃないと思うようになってしまったら？
",R15 残酷な描写あり DV 入院 罪に問われる 離婚 ささやかな幸せ,3,302
473,ド辺境の男爵令嬢が公爵家に嫁入りすることになりました。誰か助けて,ティティスはド辺境の男爵令嬢だった。しかし男爵領で大問題が起きてしまい、父親の男爵は爵位も領地も返上することにしたのだが。その手続きのために国王の前で父親とともに頭を垂れるティティスに一目惚れしたのは若き公爵で――――。,身分差 蝶 婚約破棄（公爵が) 一目惚れ（公爵が) 嘘の求婚 溺愛,1,101
474,ラブコメの悪役に転生した俺は痴漢からモブ美少女を助けた結果、世界の法則を見つけたので推しの後輩ヒロインの彼氏になるため頑張っただけなのに勝手に好感度爆上がり知らないうちにヒロイン達に囲まれたんだが……,"朝目が覚めると鏡の前には見知らぬ。黒髪のイケメンが立っていた。
そして俺は思い出した。ブラック企業へ出勤する途中で電車に轢かれ死んだことを……そしてこの世界が人気WEB小説『幼馴染を寝取られたので努力したらハーレムが出来た件』の世界であったことを……

「これってつまり転生って奴なのか？」

しかし素直には喜べない理由があった。
主人公でもサブキャラでもモブでもなくネタキャラとも言われる悪役【｜真堂恭介《しんどうきょうすけ》】だった。

『傲慢不遜』で『他責思考』オマケに『屁理屈』をこね主人公の邪魔をする。嫌われる要素を詰め込んだヘイトキャラそれが『真堂恭介』だ。
しかも最後は退学からの社会的に死ぬと作者に名言される。死亡フラグを回避し目指すはモブでいること。

「なんだよ悪役って！　どうせなら過去の自分にしてくれよ！　今なら高校時代もっと上手くやり直せるわ！　やってやるよ！　俺はこの人生を生き抜いてやる！！」

しかし嘆いていても仕方がない悪役の運命を変える為、登校中の電車内で痴漢からクラスメイトをい助けたとこで彼の運命は大きく変化する。

　今までしていた行為を一変させ、勉学にボランティア活動へと意欲的に行動することで彼の世界は徐々に変化しそれは悪役としての運命さえも変えていく――

　これは悪役としてラブコメ世界に転生した俺が、前世で得た原作知識と人生経験を総動員して待ち受けるバッドエンドという運命を回避し、推しのヒロインを救って、原作主人公よりも幸せな青春を送る為に奮闘する物語である。

　ダブルヒロイン制で、最終的にはじれじれのハーレム作品になる予定です！
　
――小説家になろう、カクヨム、アルファポリス、ハーメルン、ノベルピア（順不同）にも投稿中

【試験的に粗筋変更】",ＥＳＮ大賞６ 学園 ハーレム 青春 スクールラブ ラブコメ 悪役転生 純愛 じれじれ 原作知識 ポンコツヒロイン 高校生 両片思い 少しずつ変化する関係 やり直し R15 異世界転生,1,102
475,【完結】婚姻無効になったので新しい人生始めます～前世の記憶を思い出して家を出たら、愛も仕事も手に入れて幸せになりました～,"セレーナは嫁いで三年が経ってもいまだに旦那様と使用人達に受け入れられないでいた。
そんな時頭をぶつけたことで前世の記憶を思い出し、家を出ていくことを決意する。

「…そうだ、この結婚はなかったことにしよう」



※1～4話までは短編版と同じです。5話からが連載版です。
※ご都合主義、ふんわり設定です。
※1/29、1/30、1/31 日間総合ランキング1位ありがとうございます！
※本編完結しました。番外編更新します。",異世界転生 女主人公 魔法 ハッピーエンド 愛されなかった妻 魔法薬師 教師 婚姻無効 ヘタレな元夫 魔力,1,101
476,よくあるループものだったとして、なんで貴方なんですか王太子殿下,婚約者である王太子殿下に婚約破棄された公爵令嬢イザベル。が、その直後王太子殿下と浮気相手の男爵令嬢がシャンデリアの下敷きに！ショックで気を失うと何故か前世の記憶を持って一ヶ月前に巻き戻っていた。王太子殿下が死ぬ度に巻き戻るイザベルは果たしてどうなってしまうのか。,女主人公 西洋 中世 ハッピーエンド タイムリープ 悪役令嬢 王太子 婚約破棄 ループ 巻き戻り 残酷な描写あり 異世界転生,1,101
477,王太子に婚約破棄されていたら「ずるいずるい」という妹が乱入してきました。,"定番の「ずるい」と言う妹を書いてみようと試みてどこかで方向性を間違えた一品。

※他サイトにも掲載。",ギャグ・コメディ 異世界恋愛 婚約破棄 ざまぁの寸前,3,307
478,黄金の経験値【なろう版】,"カドカワBOOKS様より書籍化が決定いたしました！　　

あらゆる仕事が、あらゆる趣味が、あらゆる生活がＶＲと切り離しては語れない。そんな世の中になった時代。そんな時代の最新技術を駆使して開発されたＶＲゲーム、その名も「Boot hour，shoot curse」。
クローズドβテストでぼっちプレイしかしていなかった主人公は、その正式サービスでたくさんのフレンドを作り（プレイヤーのフレンドとは言っていない）、やがて巨大なクランを（プレイヤーズクランとは言っていない）束ねる存在へと成長していく。

タイトルは適当でした、最初は。
本文中でタイトル回収しました。
作中ゲーム名は適当です。語呂合わせで意味はありません。豚は出荷よー

あらゆるキャラクターを経験値袋としか思ってないような主人公がやりたい放題するお話。こんな未来世界だったらいいなー分も含みます。最初だけだけど。

本編完結いたしました。長らくのご愛読、誠にありがとうございました。
カクヨムにも投稿はじめました。（21/12/2）
第７回カクヨムコンテスト、キャラクター文芸部門にて特別賞を受賞しました。（22/5/26）
って、これこっちに書いてもいいやつなのかな……？",R15 残酷な描写あり 近未来 人工知能 VRMMO 女主人公 魔王 勘違い ポンコツ そのうち主人公最強 PK 悪役ムーブ 書籍発売中,4,401
479,田中家、転生する。,"特に山もなく、谷もなく、結婚もなく、警察沙汰もなく、ただ社会のルールに則って慎ましく生きてきた田中家。
猫をこよなく愛し、また猫に愛され平凡に生きてきた田中家。
何かと最後の詰めが甘く、残念な田中家。

そんな田中家を襲った突然の大地震。
あわや全滅かと思いきや、一家揃っての異世界転生。
ここは乙女ゲームの中なのか。 
どこなのか。
悪役令嬢なのか。
攻略対象なのか。
誰も知らないわからない。
あの魔物がべらぼうに強い。
なのに魔法も使えず、スキルもない。
頼みの綱は猫と蜘蛛？
出来ることと言ったらお裁縫と虫の世話。
そんな異世界で、取り敢えず平和に、また慎ましく生きていきたい田中家の話。

小説1〜5巻好評発売中！
コミックス1〜4巻も好評発売中!",ほのぼの 女主人公 西洋 乙女ゲーム 悪役令嬢 ホームドラマ 猫 虫 モフモフ コメディ R15 残酷な描写あり 異世界転生,2,201
480,放課後の迷宮冒険者～日本と異世界を行き来できるようになった僕はレベル上げに勤しみます～/【旧題】日本と異世界を行き来できるようになったので、とりあえずいまはレベル上げに勤しんでます,"
　11月20日に、タイトルを【放課後の迷宮冒険者～日本と異世界を行き来出るようになった僕はレベル上げに勤しみます～】に名前を変えてGCN文庫様から書籍化します！


　高校生、九藤晶はひょんなことから、日本と『異世界ド・メルタ』を行き来できるようになる。


「魔術を使えるとたのしいよね～」
という神さまのありがたーいお言葉で魔法使いにしてもらったり、


「この世界レベルっていう概念があるんだよね～」
という言葉と共に、スコアカードと呼ばれるレベルと倒したモンスターの数や情報が記載される摩訶不思議カードをもらったり、


到着して早々、勢いで冒険者となったりと、イベント盛りだくさん。
現在は異世界での活動も安定してきているので、日本の物を持ち込んで、異世界の濃ゆい人たちと交流しながら、迷宮に入ってレベル上げに勤しんでいます。


　……そんな、とあるきっかけで、日本と異世界を行き来できるようになった少年が、ダンジョンで冒険してレベルを上げたり、異世界の人たちと交流したりするお話です。


 ※息抜きで書いたものなので地の文の語彙が死滅しています。内容も緩くてふわふわしてます。まったりです。ご了承ください。


",R15 残酷な描写あり 異世界転移 冒険 ギャグ 男主人公 魔法 ダンジョン ときどきメシテロ 異世界移動系,2,201
481,さようなら、私の軽すぎた結婚～これが正しい魅了の使い方～,"我儘な王女エメラインには弱いが魅了の力があった。
それを使って妹の結婚話を自分のものにし、妹の振りをして帝国の後宮に入る。すべては盲目の妹を守るために。
帝国を治める新しい皇帝はヘビ獣人の血を引き、異母兄弟姉妹たちを皆殺しにして皇帝の座についた男だった。
--
ノベルバでも公開していますが、なろう版の方が長く少し内容を変えています。",R15 残酷な描写あり 異類婚姻譚 魅了 女主人公 ヘビ 獣人 ファンタジー 盲目 演技 人外,1,101
482,覇王になってから異世界に来てしまった！　～エディットしたゲームキャラ達と異世界を蹂躙する我覇王～,"ソードアンドレギオンズというゲームがある。戦略シミュレーション＆RPGといったジャンルで戦記物のゲームだ。俺はこのゲームにドはまりして、ここ数年はこのゲームしかやっていなかったと思う。そして今日も日課であるレギオンズを始めた俺は、もはや何十周目かになる周回プレイを始めようとして……次の瞬間、玉座に座り鎧を着ていた。WHY？
焦りまくる俺だったが、自分がいる場所がレギオンズの拠点である城という事に気付く。ゲームの世界にきてしまった？いやいや、そんな馬鹿な！玉座の間で絶叫する俺、玉座の間に飛び込んでくる人物……その人物は、俺がゲームでエディットした配下キャラだった……。
これは、周回プレイによって得た振り切った能力と、エディットしたキャラたちの振り切った忠誠心を武器に、調子に乗って覇王ムーブをかまそうとするお馬鹿の物語！
※この作品はカクヨムにも投稿しています。カクヨムにて1,250万PV突破！！",ＥＳＮ大賞６ ＨＪ大賞５ ギャグ シリアス 男主人公 チート ゲーム オリジナル戦記 ハーレム？ コメディより 主人公最強 配下最強 ゲーム能力 羊木羊 R15 残酷な描写あり 異世界転移,2,201
483,付き合っていた彼女を簡単に切り捨てる僕は多分壊れている,"誕生日を一緒に過ごしたいと思っていた僕。
彼女の母親が体調を崩したとのことで、予定がすっぽり空いてしまった。
さて何をしようかな？

友達に助けられるが、僕は既に壊れている。

最後にか出した判断は？",シリアス 男主人公 微ざまぁ 壊れている少年 結局出家？ 道端の石ころ R15,1,102
484,転生したら皇帝でした～生まれながらの皇帝はこの先生き残れるか～," 生まれながらの皇帝……それは一見すると、成功が約束された人生なのかもしれない。ここ『東方大陸』において、『皇帝』を名乗れるのはたった一人。生まれながらその至高の座にいる彼は、順風満帆の人生が送れる……はずが、無い。
 先代皇帝である祖父、そして本来皇帝を継ぐはずだった父は、貴族によって暗殺されていた。その貴族らにとって都合の良い傀儡、不要になればいつでも消せる御輿。それがブングダルト帝国８代皇帝、カーマインである。

 皇帝は満足な教育すら受けられず、帝国は貴族らの政争により崩壊しつつあった。財政は破綻し、周辺国の介入に対応できず、辺境の独立を許した帝国。この大国が風前の灯火であることは、誰の目にも明らかだった。

 ……人々はまだ知らない。この傀儡が後に、『帝国中興の祖』『大帝』『最も偉大なる皇帝』と呼ばれることを。
 ――そして彼が、転生者であることも。

 これはよくある異世界転生の、絶対に成り上がれない物語。



※テキスト及び画像の無断転載・複製を固く禁じます。
※Unauthorized copying and replication of the contents of this site, text and images are strictly prohibited.
※禁止私自转载、加工。


【※】2020/10/20　あらすじ等改編しました。
　　　2020/1/11　ランキングタグ編集。以降も一部変更される恐れがあります。
　　　同日　ルビについていくつかご指摘があったので全面的に修正。",R15 残酷な描写あり 異世界転生 オリジナル戦記 架空戦記 異世界/ファンタジー 魔法/魔道具 ミリタリー/戦争 宮廷/貴族/陰謀 外交/内政/政治 国家/民族 西欧風/中世～近世 シリアス/男主人公 ヒロイン複数 転生者/転生者複数 恵まれた生まれ（傀儡 成り上がられる側 転皇でした,2,201
485,【完結】ど底辺令嬢に憑依した800年前の悪女はひっそり青春を楽しんでいる。,"世界を滅ぼそうとした悪女として800年封印されていたノーラはとても退屈していた。ある日「死にたい」と願う少女シシリーの声がきっかけで意識だけ自由になったけど、身体はしわくちゃで使い物にならない。だからノーラはシシリーに提案する。

（だったらあなたの身体を貸してくれない？　代わりに一年後、友人に恋人、優しい家族に最高の進路、全部揃えてあなたに完璧なリスタートをきらせてあげるわ！）

『稀代の悪女・ノーラ』は『枯草令嬢・シシリー』の身体で復活。まずシシリーを階段から突き落とした令嬢らは懲らしめないとね。当然、ずっとシシリーを利用してくる姉からのお願いもきっぱり拒否。「魔力なし」と虐げてきた家族にもぎゃふんと言わせてあげる。

もちろん、自分自身の学園生活も楽しまなくっちゃ。授業に部活に学園祭。勉強も遊びも全力で楽しんで、私も人生最後に憧れの青春を満喫しよう！

これは『枯草令嬢』と呼ばれたど底辺の少女が青春を逆転していくお話。
そして『稀代の悪女』と呼ばれた少女が800年前の因縁と決別して、好き勝手しながら欲しいもの全てを手に入れるお話です。

■小説２巻、サーガフォレスト様より好評発売中！！
　イラストはとよた瑣織先生です。
　コミカライズはコミックノヴァにて好評連載中。
　作画は旭タツミ先生です。
■ゆる設定。R15は念のため。ハッピーエンドをお約束。
■いじめっ子は二話目で泣かす。
■序盤から悪女は全力で青春を楽しみます（タイトルは最後の方で回収）
■他サイトでも公開はじめました。",学園 魔法 ハッピーエンド 青春 悪役令嬢 ドアマット 悪女 前向き主人公 つよつよメンタル 婚約破棄 溺愛 ざまぁ 姉妹格差 書籍化 コミカライズ R15,2,201
486,公爵家の長女でした,"次期公爵である優秀な兄と、母によく似た美しい妹。その間に挟まれた「公爵家の長女」たる私は「王太子の婚約者」でもあった。今日、婚約解消を申し出られるまでは。

いずれ王妃になるのだからと努力を重ねてきたのに、婚約者の王子の隣には噂の男爵令嬢。
「あなたはよく努力しているわ。でも、それだけなのよ」。王妃に追い打ちをかけられ、失意のうちに帰宅をした私に告げられた父の決定は、それまでの私の全てを否定するものだった。自室で泣き伏せた私が見た夢は全く別の世界のもので。「私の、前世？」

心強い仲間とチートを手に入れ、全てと決別して新しい自分を生きることにした「公爵家の長女」だった私の物語。

",女主人公 チート 魔法 ハッピーエンド 姉妹格差 婚約破棄 逃亡 異世界転生,2,201
